Ме 225 80;popular_memorials;гранит;черный;92 см;80 кг;800*400*50;
Ме 237 100;popular_memorials;гранит;черный;112 см;100 кг;1000*500*50;
Ме 239 100;popular_memorials;гранит;черный;112 см;100 кг;1000*500*50;
Ме 513;popular_memorials;гранит;черный;130 см;180 кг;1100*600*70;
Ме 514;popular_memorials;гранит;черный;130 см;180 кг;1100*600*70;
Ме 607 80 светло серый с БГП;popular_memorials;гранит;светло-серый;92 см;83 кг;800*400*50;
Ме 611 эконом;popular_memorials;гранит;черный;67 см;120 кг;650*1100*50;
Ем 18 80 светло серый;energo80_gray;гранит;светло-серый;92 см;80 кг;800*400*50;
Ем 19 80 светло серый;energo80_gray;гранит;светло-серый;92 см;80 кг;800*400*50;
Ем 29 80 светло серый;energo80_gray;гранит;светло-серый;92 см;80 кг;800*400*50;
Ем 48 80 светло серый;energo80_gray;гранит;светло-серый;92 см;80 кг;800*400*50;
Ем 58 80 светло серый;energo80_gray;гранит;светло-серый;92 см;80 кг;800*400*50;
Ем 18 80 светло серый с БГП;energo80_gray;гранит;светло-серый;92 см;83 кг;800*400*50;
Ем 19 80 светло серый с БГП;energo80_gray;гранит;светло-серый;92 см;83 кг;800*400*50;
Ме 202 80 светло серый;energo80_gray;гранит;светло-серый;92 см;80 кг;800*400*50;
Ме 607 80 светло серый;energo80_gray;гранит;светло-серый;92 см;80 кг;800*400*50;
Ме 608 80 светло серый;energo80_gray;гранит;светло-серый;92 см;80 кг;800*400*50;
Ме 202 80 светло серый с БГП;energo80_gray;гранит;светло-серый;92 см;83 кг;800*400*50;
Ме 607 80 светло серый с БГП;energo80_gray;гранит;светло-серый;92 см;83 кг;800*400*50;
Ме 608 80 светло серый с БГП;energo80_gray;гранит;светло-серый;92 см;83 кг;800*400*50;
Ем 13 80 темно серый;energo80_dgray;гранит;темно-серый;92 см;80 кг;800*400*50;
Ем 18 80 темно серый;energo80_dgray;гранит;темно-серый;92 см;80 кг;800*400*50;
Ем 19 80 темно серый;energo80_dgray;гранит;темно-серый;92 см;80 кг;800*400*50;
Ем 41 80 темно серый;energo80_dgray;гранит;темно-серый;92 см;80 кг;800*400*50;
Ем 48 80 темно серый;energo80_dgray;гранит;темно-серый;92 см;80 кг;800*400*50;
Ем 20 80 темно серый;energo80_dgray;гранит;темно-серый;92 см;80 кг;800*400*50;
Ем 23 80 темно серый;energo80_dgray;гранит;темно-серый;92 см;80 кг;800*400*50;
Ем 29 80 темно серый;energo80_dgray;гранит;темно-серый;92 см;80 кг;800*400*50;
Ем 39 80 темно серый;energo80_dgray;гранит;темно-серый;92 см;80 кг;800*400*50;
Ем 42 80 темно серый;energo80_dgray;гранит;темно-серый;92 см;80 кг;800*400*50;
