Подкатегория;Наименование;Характеристики ;;;;;;;;;;;;;;;;;;;;;;Размер памятника в комплекте;;;Цена;Цена фацета
;;Материал;Цвет;Полировка;Высота;Вес;Объём;Размер;Срок изготовления;Размер фракции;Единица измерения;Форма;Высота пролёта;Высота столба;Обивка;Закрутки;Ручки несущие;Лакировка;Форма;Фурнитура;Ручная резьба;Отделка;Крышка;Стелла (в/ш/т);Тумба (в/ш/т);Цветник (в/ш/т);;
family;Ем 65 эконом;гранит;черный;все стороны;82 см;130 кг;;;10 дней;;;;;;;;;;;;;;;70 × 90 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;24000;
family;Ем 66 эконом;гранит;черный;все стороны;82 см;130 кг;;;10 дней;;;;;;;;;;;;;;;70 × 90 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;24000;
family;Ем 86 эконом;гранит;черный;все стороны;82 см;130 кг;;;10 дней;;;;;;;;;;;;;;;70 × 90 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;24000;
family;Ме 110;гранит;черный;все стороны;124 см;200 кг;;;10 дней;;;;;;;;;;;;;;;110 × 50 × 7 см;130 × 20 × 14 см;120 × 10 × 7 см;46300;
family;Ме 5;гранит;черный;все стороны;99 см;180 кг;;;10 дней;;;;;;;;;;;;;;;120 × 85 × 7 см;130 × 20 × 14 см;120 × 10 × 7 см;41900;
family;Ме 6;гранит;черный;все стороны;99 см;180 кг;;;10 дней;;;;;;;;;;;;;;;120 × 85 × 7 см;130 × 20 × 14 см;120 × 10 × 7 см;43200;
family;Ме 7;гранит;черный;все стороны;99 см;180 кг;;;10 дней;;;;;;;;;;;;;;;120 × 85 × 7 см;130 × 20 × 14 см;120 × 10 × 7 см;41900;
family;Ме 9;гранит;черный;все стороны;99 см;180 кг;;;10 дней;;;;;;;;;;;;;;;120 × 85 × 7 см;130 × 20 × 14 см;120 × 10 × 7 см;41900;
family;Ме 10;гранит;черный;все стороны;99 см;180 кг;;;10 дней;;;;;;;;;;;;;;;120 × 85 × 7 см;130 × 20 × 14 см;120 × 10 × 7 см;41900;
family;Ме 19;гранит;черный;все стороны;99 см;180 кг;;;10 дней;;;;;;;;;;;;;;;120 × 85 × 7 см;130 × 20 × 14 см;120 × 10 × 7 см;41900;
family;Ме 96;гранит;черный;все стороны;99 см;180 кг;;;10 дней;;;;;;;;;;;;;;;120 × 85 × 7 см;130 × 20 × 14 см;120 × 10 × 7 см;41900;
family;Ме 97;гранит;черный;все стороны;99 см;180 кг;;;10 дней;;;;;;;;;;;;;;;120 × 85 × 7 см;130 × 20 × 14 см;120 × 10 × 7 см;41900;
family;Ме 606;гранит;черный;все стороны;99 см;180 кг;;;10 дней;;;;;;;;;;;;;;;120 × 85 × 7 см;130 × 20 × 14 см;120 × 10 × 7 см;45700;
family;Ме 613 ВН;гранит;черный;все стороны;99 см;180 кг;;;10 дней;;;;;;;;;;;;;;;120 × 85 × 7 см;130 × 20 × 14 см;120 × 10 × 7 см;45600;
family;Дж 16;гранит;черный;все стороны;114 см;350 кг;;;10 дней;;;;;;;;;;;;;;;120 × 100 × 7 см;110 × 20 × 14 см;100 × 8 × 6 см;58600;
family;Дж 18;гранит;черный;все стороны;114 см;350 кг;;;10 дней;;;;;;;;;;;;;;;120 × 100 × 7 см;110 × 20 × 14 см;100 × 8 × 6 см;58600;
family;Дж 43;гранит;черный;все стороны;114 см;350 кг;;;10 дней;;;;;;;;;;;;;;;120 × 100 × 7 см;110 × 20 × 14 см;100 × 8 × 6 см;58600;
family;Дж 92;гранит;черный;все стороны;114 см;350 кг;;;10 дней;;;;;;;;;;;;;;;120 × 100 × 7 см;110 × 20 × 14 см;100 × 8 × 6 см;58600;
family;Дж 93;гранит;черный;все стороны;114 см;350 кг;;;10 дней;;;;;;;;;;;;;;;120 × 100 × 7 см;110 × 20 × 14 см;100 × 8 × 6 см;58600;
family;Дж 94;гранит;черный;все стороны;114 см;350 кг;;;10 дней;;;;;;;;;;;;;;;120 × 100 × 7 см;110 × 20 × 14 см;100 × 8 × 6 см;58600;
family;Дж 96;гранит;черный;все стороны;114 см;350 кг;;;10 дней;;;;;;;;;;;;;;;120 × 100 × 7 см;110 × 20 × 14 см;100 × 8 × 6 см;58600;
family;Дж 97;гранит;черный;все стороны;114 см;350 кг;;;10 дней;;;;;;;;;;;;;;;120 × 100 × 7 см;110 × 20 × 14 см;100 × 8 × 6 см;58600;
family;Дж 113;гранит;черный;все стороны;104 см;300 кг;;;10 дней;;;;;;;;;;;;;;;90 × 100 × 8 см;100 × 20 × 14 см;100 × 8 × 6 см;73600;
family;Дж 114;гранит;черный;все стороны;104 см;300 кг;;;10 дней;;;;;;;;;;;;;;;90 × 100 × 8 см;100 × 20 × 14 см;100 × 8 × 6 см;73600;
family;Дж 115;гранит;черный;все стороны;104 см;300 кг;;;10 дней;;;;;;;;;;;;;;;90 × 100 × 8 см;100 × 20 × 14 см;100 × 8 × 6 см;73600;
family;Ем 29 семейный;гранит;черный;все стороны;114 см;160 кг;;;10 дней;;;;;;;;;;;;;;;100 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;25300;
family;Ем 46;гранит;черный;все стороны;104 см;357 кг;;;10 дней;;;;;;;;;;;;;;;90 × 100 × 7 см;100 × 20 × 14 см;100 × 8 × 7 см;39800;
family;Ем 54;гранит;черный;все стороны;104 см;330 кг;;;10 дней;;;;;;;;;;;;;;;90 × 100 × 7 см;100 × 20 × 14 см;100 × 8 × 7 см;45200;
family;Ем 60;гранит;черный;все стороны;104 см;342 кг;;;10 дней;;;;;;;;;;;;;;;90 × 100 × 7 см;100 × 20 × 14 см;100 × 8 × 7 см;39800;
family;Ем 63е;гранит;черный;все стороны;96 см;280 кг ;;;10 дней;;;;;;;;;;;;;;;82 × 82 × 7 см;80 × 20 × 14 см;100 × 8 × 7 см;36700;
family;Ем 85;гранит;черный;все стороны;104 см;360 кг;;;10 дней;;;;;;;;;;;;;;;90 × 100 × 7 см;100 × 20 × 14 см;100 × 8 × 7 см;45300;
family;Ем 86;гранит;черный;все стороны;104 см;360 кг;;;10 дней;;;;;;;;;;;;;;;90 × 100 × 7 см;100 × 20 × 14 см;100 × 8 × 7 см;39800;
family;Ем 87;гранит;черный;все стороны;104 см;360 кг;;;10 дней;;;;;;;;;;;;;;;90 × 100 × 7 см;100 × 20 × 14 см;100 × 8 × 7 см;39800;
color;Ме 100 45 7 прямой зел;гранит;зеленый;все стороны;114 см;140 кг;;;10 дней;;;;;;;;;;;;;;;100 × 45 × 7 см;55 × 20 × 14 см;100 × 8 × 7 см;17900;
color;Ме 24 зел;гранит;зеленый;все стороны;164 см;195 кг;;;10 дней;;;;;;;;;;;;;;;140 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;26900;
color;Ме 25 зел;гранит;зеленый;все стороны;124 см;150 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;22800;
color;Ме 29 зел;гранит;зеленый;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;25200;
color;Ме 30 зел;гранит;зеленый;все стороны;124 см;150 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;23100;
color;Ме 31 зел;гранит;зеленый;все стороны;114 см;180 кг;;;10 дней;;;;;;;;;;;;;;;100 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;24400;
color;Ме 37 зел;гранит;зеленый;все стороны;114 см;180 кг;;;10 дней;;;;;;;;;;;;;;;100 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;24500;
color;Ме 38 ВН зел;гранит;зеленый;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;25200;
color;Ме 42 зел;гранит;зеленый;все стороны;144 см;160 кг;;;10 дней;;;;;;;;;;;;;;;130 × 50 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;24200;
color;Ме 46 зел;гранит;зеленый;все стороны;124 см;150 кг;;;10 дней;;;;;;;;;;;;;;;110 × 55 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;24700;
color;Ме 61 зел;гранит;зеленый;все стороны;114 см;150 кг;;;10 дней;;;;;;;;;;;;;;;100 × 55 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;23400;
color;Ме 65 зел;гранит;зеленый;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;25200;
color;Ме 66 зел;гранит;зеленый;все стороны;114 см;150 кг;;;10 дней;;;;;;;;;;;;;;;100 × 55 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;23400;
color;Ме 89 ВН зел;гранит;зеленый;все стороны;124 см;151 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;26200;
color;Ме 106 зел;гранит;зеленый;все стороны;114 см;152 кг;;;10 дней;;;;;;;;;;;;;;;100 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;24400;
color;Ме 202 зел;гранит;зеленый;все стороны;124 см;153 кг;;;10 дней;;;;;;;;;;;;;;;110 × 50 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;23900;
color;Ме 206 ВН зел;гранит;зеленый;все стороны;114 см;180 кг;;;10 дней;;;;;;;;;;;;;;;100 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;24400;
color;Ме 207 зел;гранит;зеленый;все стороны;114 см;180 кг;;;10 дней;;;;;;;;;;;;;;;100 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;24400;
color;Ме 218 зел;гранит;зеленый;все стороны;114 см;150 кг;;;10 дней;;;;;;;;;;;;;;;100 × 55 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;24400;
color;Ме 220 зел;гранит;зеленый;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;29000;
color;Ме 225 зел;гранит;зеленый;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;25200;
color;Ме 231 ВН зел;гранит;зеленый;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;28800;
color;Ме 232 ВН зел;гранит;зеленый;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;28800;
color;Ме 234 ВН зел;гранит;зеленый;все стороны;96 см;140 кг;;;10 дней;;;;;;;;;;;;;;;82 × 82 × 7 см;90х 20 × 14 см;100 × 8 × 7 см;27700;
color;Ме 237 зел;гранит;зеленый;все стороны;124 см;150 кг;;;10 дней;;;;;;;;;;;;;;;110 × 55 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;27700;
color;Ме 239 зел;гранит;зеленый;все стороны;124 см;150 кг;;;10 дней;;;;;;;;;;;;;;;110 × 55 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;27700;
color;Ме 242 ВН зел;гранит;зеленый;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;26500;
color;Ме 246 зел;гранит;зеленый;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;25200;
color;Ме 247 ВН зел;гранит;зеленый;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;27600;
color;Ме 248 зел;гранит;зеленый;все стороны;114 см;150 кг;;;10 дней;;;;;;;;;;;;;;;100 × 55 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;22800;
color;Ме 248 ВН зел;гранит;зеленый;все стороны;114 см;150 кг;;;10 дней;;;;;;;;;;;;;;;100 × 55 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;22800;
color;Ме 251 зел;гранит;зеленый;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 65 × 7 см;80 × 20 × 14 см;100 × 8 × 7 см;31400;
color;Ме 253 зел;гранит;зеленый;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 55 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;23400;
color;Ме 502 ВН зел;гранит;зеленый;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;24800;
color;Ме 512 зел;гранит;зеленый;все стороны;124 см;170 кг;;;10 дней;;;;;;;;;;;;;;;110 × 55 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;25700;
color;Ме 513 зел;гранит;зеленый;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;27600;
color;Ме 513 ВН зел;гранит;зеленый;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;27600;
color;Ме 514 зел;гранит;зеленый;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;28100;
color;Ме 600 зел;гранит;зеленый;все стороны;114 см;170 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;22900;
color;Ме 603 зел;гранит;зеленый;все стороны;124 см;170 кг;;;10 дней;;;;;;;;;;;;;;;110 × 55 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;25700;
color;Ме 607 зел;гранит;зеленый;все стороны;114 см;150 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;22400;
color;Ме 608 зел;гранит;зеленый;все стороны;112 см;150 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 7 см;50х 20 × 12 см;100 × 8 × 6 см;22400;
color;Ме 609 зел;гранит;зеленый;все стороны;112 см;150 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 7 см;50х 20 × 12 см;100 × 8 × 6 см;22800;
color;Ме 700 ВН зел;гранит;зеленый;все стороны;122 см;150 кг;;;10 дней;;;;;;;;;;;;;;;110 × 55 × 7 см;50х 20 × 12 см;100 × 8 × 6 см;25300;
color;Ме 702 зел;гранит;зеленый;все стороны;122 см;150 кг;;;10 дней;;;;;;;;;;;;;;;110 × 55 × 7 см;50х 20 × 12 см;100 × 8 × 6 см;24800;
color;Ем 10 красн;гранит;красный;все стороны;112 см;145 кг;;;10 дней;;;;;;;;;;;;;;;100 × 45 × 7 см;55 × 16 × 12 см;100 × 7 × 5 см;34200;
color;Ем 23 красн;гранит;красный;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;42500;
color;Ем 29 красн;гранит;красный;все стороны;114 см;180 кг;;;10 дней;;;;;;;;;;;;;;;100 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;40100;
color;Ем 40 красн;гранит;красный;все стороны;134 см;180 кг;;;10 дней;;;;;;;;;;;;;;;120 × 50 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;43800;
color;Ем 42е красн;гранит;красный;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;46500;
color;Ем 49 красн;гранит;красный;все стороны;122 см;150 кг;;;10 дней;;;;;;;;;;;;;;;110 × 50 × 7 см;55 × 16 × 12 см;100 × 7 × 5 см;44000;
color;Ем 53 красн;гранит;красный;все стороны;122 см;150 кг;;;10 дней;;;;;;;;;;;;;;;110 × 55 × 7 см;55 × 16 × 12 см;100 × 7 × 5 см;40200;
color;Ем 55 красн;гранит;красный;все стороны;114 см;150 кг;;;10 дней;;;;;;;;;;;;;;;100 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;44600;
color;Ем 61е красн;гранит;красный;все стороны;122 см;150 кг;;;10 дней;;;;;;;;;;;;;;;110 × 55 × 7 см;55 × 16 × 12 см;100 × 7 × 5 см;47600;
color;Ем 69 красн;гранит;красный;все стороны;164 см;160 кг;;;10 дней;;;;;;;;;;;;;;;150 × 40 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;51700;
color;Ем 70 красн;гранит;красный;все стороны;164 см;160 кг;;;10 дней;;;;;;;;;;;;;;;150 × 40 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;51700;
color;Ем 74 красн;гранит;красный;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;44700;
color;Ем 76 крас;гранит;красный;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;44700;
color;Ем 77 красн;гранит;красный;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;44700;
color;Ем 78 красн;гранит;красный;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;44700;
color;Ем 80 красн;гранит;красный;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;42500;
color;Ем 81 красн;гранит;красный;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;42500;
color;Ем 91 красн;гранит;красный;все стороны;122 см;150 кг;;;10 дней;;;;;;;;;;;;;;;110 × 50 × 7 см;55 × 16 × 12 см;100 × 7 × 5 см;50600;
color;Ем 92 красн;гранит;красный;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;50600;
color;Ем 94 красн;гранит;красный;все стороны;134 см;170 кг;;;10 дней;;;;;;;;;;;;;;;120 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;50600;
color;Ем 96 красн;гранит;красный;все стороны;122 см;150 кг;;;10 дней;;;;;;;;;;;;;;;110 × 55 × 7 см;55 × 16 × 12 см;100 × 7 × 5 см;45700;
color;Ем 11 кор;гранит;коричневый;все стороны;122 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 50 × 7 см;55 × 16 × 12 см;100 × 7 × 5 см;37600;
color;Ем 29 кор;гранит;коричневый;все стороны;114 см;180 кг;;;10 дней;;;;;;;;;;;;;;;100 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;38400;
color;Ем 40 кор;гранит;коричневый;все стороны;134 см;180 кг;;;10 дней;;;;;;;;;;;;;;;120 × 50 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;38000;
color;Ем 42е кор;гранит;коричневый;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;41600;
color;Ем 49 кор;гранит;коричневый;все стороны;122 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 50 × 7 см;55 × 16 × 12 см;100 × 7 × 5 см;40800;
color;Ем 53 кор;гранит;коричневый;все стороны;122 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 55 × 7 см;55 × 16 × 12 см;100 × 7 × 5 см;35300;
color;Ем 55 кор;гранит;коричневый;все стороны;114 см;180 кг;;;10 дней;;;;;;;;;;;;;;;100 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;40100;
color;Ем 56 кор;гранит;коричневый;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;44600;
color;Ем 57 кор;гранит;коричневый;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;44600;
color;Ем 58 кор;гранит;коричневый;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;44600;
color;Ем 74 кор;гранит;коричневый;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;39400;
color;Ем 76 кор;гранит;коричневый;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;39400;
color;Ем 77 кор;гранит;коричневый;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;39400;
color;Ем 78 кор;гранит;коричневый;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;39400;
color;Ем 80 кор;гранит;коричневый;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;37200;
color;Ем 91 кор;гранит;коричневый;все стороны;122 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 50 × 7 см;55 × 16 × 12 см;100 × 7 × 5 см;46400;
color;Ем 92 кор;гранит;коричневый;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;44500;
color;Ем 94 кор;гранит;коричневый;все стороны;134 см;180 кг;;;10 дней;;;;;;;;;;;;;;;120 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;44500;
color;Ем 11 син;гранит;синий;все стороны;122 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 50 × 7 см;55 × 16 × 12 см;100 × 7 × 5 см;29800;
color;Ем 29 син;гранит;синий;все стороны;114 см;180 кг;;;10 дней;;;;;;;;;;;;;;;100 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;36800;
color;Ем 40 син;гранит;синий;все стороны;134 см;180 кг;;;10 дней;;;;;;;;;;;;;;;120 × 50 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;31000;
color;Ем 42е син;гранит;синий;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;37900;
color;Ем 49 син;гранит;синий;все стороны;122 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 50 × 7 см;55 × 16 × 12 см;100 × 7 × 5 см;37400;
color;Ем 53 син;гранит;синий;все стороны;122 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 55 × 7 см;55 × 16 × 12 см;100 × 7 × 5 см;28000;
color;Ем 55 син;гранит;синий;все стороны;114 см;180 кг;;;10 дней;;;;;;;;;;;;;;;100 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;27900;
color;Ем 56 син;гранит;синий;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;31100;
color;Ем 57 син;гранит;синий;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;31100;
color;Ем 58 син;гранит;синий;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;31100;
color;Ем 74 син;гранит;синий;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;31500;
color;Ем 76 син;гранит;синий;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;31500;
color;Ем 77 син;гранит;синий;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;31500;
color;Ем 78 син;гранит;синий;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;31500;
color;Ем 80 син;гранит;синий;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;29500;
color;Ем 91 син;гранит;синий;все стороны;122 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 50 × 7 см;55 × 16 × 12 см;100 × 7 × 5 см;43300;
color;Ем 92 син;гранит;синий;все стороны;124 см;180 кг;;;10 дней;;;;;;;;;;;;;;;110 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;40000;
color;Ем 94 син;гранит;синий;все стороны;134 см;180 кг;;;10 дней;;;;;;;;;;;;;;;120 × 60 × 7 см;60 × 20 × 14 см;100 × 8 × 7 см;40000;
not_standart;Дж 1;гранит;черный гранит;все стороны;140 см;450 кг;;;10 дней;;;;;;;;;;;;;;;120 × 100 × 15 см;120 × 25 × 20 см;120 × 10 × 7 см;147600;
not_standart;Дж 8;гранит;черный гранит;все стороны;170 см;1000 кг;;;10 дней;;;;;;;;;;;;;;;150 × 100 × 20 см;120 × 30 × 20 см;120 × 10 × 7 см;180500;
not_standart;Дж 10;гранит;черный гранит;все стороны;140 см;600 кг;;;10 дней;;;;;;;;;;;;;;;120 × 120 × 15 см;130 × 25 × 20 см;120 × 10 × 7 см;111600;
not_standart;Дж 12;гранит;черный гранит;все стороны;135 см;410 кг;;;10 дней;;;;;;;;;;;;;;;120 × 70 × 15 см;80 × 25 × 15 см;120 × 10 × 7 см;106200;
not_standart;Дж 13;гранит;черный гранит;все стороны;135 см;310 кг;;;10 дней;;;;;;;;;;;;;;;120 × 90 × 8 см;100 × 20 × 15 см;120 × 10 × 7 см;79500;
not_standart;Дж 17;гранит;черный гранит;все стороны;135 см;600 кг;;;10 дней;;;;;;;;;;;;;;;120 × 120 × 15 см;130 × 25 × 15 см;120 × 10 × 7 см;138700;
not_standart;Дж 19;гранит;черный гранит;все стороны;190 см;1200 кг;;;10 дней;;;;;;;;;;;;;;;170 × 80 × 40 см;90 × 50 × 20 см;120 × 10 × 7 см;428700;
not_standart;Дж 21;гранит;черный гранит;все стороны;140 см;400 кг;;;10 дней;;;;;;;;;;;;;;;120 × 65 × 15 см;75 × 20 × 20 см;120 × 10 × 7 см;109800;
not_standart;Дж 23;гранит;черный гранит;все стороны;134 см;270 кг;;;10 дней;;;;;;;;;;;;;;;120 × 60 × 8 см;70 × 20 × 14 см;120 × 10 × 7 см;50400;
not_standart;Дж 24;гранит;черный гранит;все стороны;134 см;270 кг;;;10 дней;;;;;;;;;;;;;;;120 × 60 × 8 см;70 × 20 × 14 см;120 × 10 × 7 см;66300;
not_standart;Дж 25;гранит;черный гранит;все стороны;134 см;270 кг;;;10 дней;;;;;;;;;;;;;;;120 × 60 × 8 см;70 × 20 × 14 см;120 × 10 × 7 см;49800;
