Подкатегория;Наименование;Характеристики ;;;;;;;;;;;;;;;;;;;;;;Размер памятника в комплекте;;;Цена;Цена фацета
;;Материал;Цвет;Полировка;Высота;Вес;Объём;Размер;Срок изготовления;Размер фракции;Единица измерения;Форма;Высота пролёта;Высота столба;Обивка;Закрутки;Ручки несущие;Лакировка;Форма;Фурнитура;Ручная резьба;Отделка;Крышка;Стелла (в/ш/т);Тумба (в/ш/т);Цветник (в/ш/т);;
granit_econom;Ме 608 80;гранит;черный;все стороны;94 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 45 × 5 см;50 × 15 × 14 см;90 × 8 × 5 см;13200;
granit_econom;Дж 42 80;гранит;черный;все стороны;94 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 45 × 5 см;50 × 15 × 14 см;90 × 8 × 5 см;13500;
granit_econom;Дж 53 80;гранит;черный;все стороны;94 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;50 × 15 × 14 см;90 × 8 × 5 см;13500;
granit_econom;Дж 54 80;гранит;черный;все стороны;94 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;50 × 15 × 14 см;90 × 8 × 5 см;13500;
granit_econom;Дж 55 80;гранит;черный;все стороны;94 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;50 × 15 × 14 см;90 × 8 × 5 см;13500;
granit_econom;Дж 56 80;гранит;черный;все стороны;94 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;50 × 15 × 14 см;90 × 8 × 5 см;13500;
granit_econom;Дж 58 80;гранит;черный;все стороны;94 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;50 × 15 × 14 см;90 × 8 × 5 см;13500;
granit_econom;Дж 61 80;гранит;черный;все стороны;94 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;50 × 15 × 14 см;90 × 8 × 5 см;13500;
granit_econom;Дж 66 80;гранит;черный;все стороны;94 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;50 × 15 × 14 см;90 × 8 × 5 см;13500;
granit_econom;Дж 86 80;гранит;черный;все стороны;94 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;50 × 15 × 14 см;90 × 8 × 5 см;13500;
